CUSTOMER_NAME,UNIT_PRICE
Zanele Nkosi,47283
Pieter Botha,285296
Lerato Khumalo,39525
Zanele Mbeki,168936
Pieter Coetzee,169194
Thabo Van der Merwe,167384
Kagiso Van der Merwe,229203
Nomvula Pretorius,140930
Zanele Van der Merwe,182662
Chloe Nkosi,62366
David Mbeki,275325
Fatima Sithole,239912
Sipho Ndlovu,73905
Michael Naidoo,81341
Aisha Fourie,145844
Naledi Coetzee,207257
Grace Van der Merwe,123347
Karabo Nkosi,295002
Ayanda Ndlovu,227870
Zanele Dlamini,30720
Nomvula Ndlovu,39189
Ayanda Coetzee,222764
Aisha Ndlovu,165393
Ayanda Mokoena,218194
Naledi Dlamini,315419
Kagiso Naidoo,163340
Michael Mbeki,102827
Naledi Naidoo,67371
Nomvula Coetzee,278387
Naledi Fourie,264982
Kagiso Dlamini,84054
Fatima Botha,87130
Sarah Pretorius,124151
Naledi Ndlovu,344106
Johan Mahlangu,235432
Michael Els,355947
Lerato Mokoena,310435
David Fourie,395193
Lerato Fourie,126467
Zanele Mokoena,141276
Sipho Els,275290
Chloe Dlamini,171935
Kagiso Mbeki,168051
Kagiso Fourie,162920
Sam Van der Merwe,14594
